,RX1V3C1
0,b'191'
1,b'432'
2,b'061'
3,b'061'
4,b'178'
5,
6,b'301'
7,b'061'
8,b'180'
9,b'304'
10,
11,
12,b'069'
13,b'191'
14,b'304'
15,b'140'
16,b'432'
17,b'061'
18,b'345'
19,b'178'
20,b'191'
21,b'061'
22,
23,b'061'
24,b'069'
25,b'225'
26,b'191'
27,b'191'
28,
29,b'301'
30,b'191'
31,b'178'
32,b'191'
33,b'191'
34,
35,b'061'
36,b'191'
37,b'159'
38,b'275'
39,b'059'
40,b'061'
41,
42,
43,
44,b'173'
45,
46,b'274'
47,
48,
49,b'180'
50,b'208'
51,b'191'
52,b'350'
53,
54,b'262'
55,b'062'
56,b'062'
57,b'180'
58,b'069'
59,b'173'
60,b'062'
61,
62,b'154'
63,
64,
65,b'060'
66,b'304'
67,b'387'
68,b'191'
69,b'262'
70,b'062'
71,
72,
73,b'069'
74,b'208'
75,b'069'
76,
77,b'341'
78,b'341'
79,b'059'
80,
81,
82,b'308'
83,b'059'
84,
85,b'208'
86,
87,b'341'
88,
89,
90,b'208'
91,b'069'
92,
93,b'077'
94,
95,b'225'
96,
97,b'069'
98,b'193'
99,
100,b'070'
101,
102,
103,b'077'
104,b'191'
105,b'214'
106,b'224'
107,b'191'
108,b'061'
109,
110,
111,
112,b'215'
113,
114,
115,
116,
117,
118,b'061'
119,
120,b'191'
121,
122,b'191'
123,b'224'
124,b'195'
125,
126,b'195'
127,b'236'
128,
129,b'224'
130,b'070'
131,b'059'
132,b'180'
133,b'215'
134,b'159'
135,b'432'
136,b'281'
137,b'178'
138,b'178'
139,b'301'
140,
141,b'061'
142,b'290'
143,b'191'
144,b'061'
145,b'195'
146,b'304'
147,
148,
149,b'061'
150,b'061'
151,b'076'
152,
153,
154,
155,b'224'
156,b'061'
157,b'180'
158,b'208'
159,b'060'
160,
161,b'191'
162,b'432'
163,
164,b'191'
165,b'060'
166,b'351'
167,
168,b'224'
169,
170,
171,
172,
173,
174,b'059'
175,b'191'
176,b'304'
177,b'195'
178,b'060'
179,b'141'
180,
181,b'195'
182,b'173'
183,b'226'
184,b'213'
185,b'181'
186,
187,
188,b'060'
189,b'341'
190,
191,
192,b'191'
193,
194,b'195'
195,
196,b'061'
197,b'061'
198,b'089'
199,b'195'
200,b'061'
201,
202,
203,
204,
205,b'304'
206,
207,b'191'
208,b'301'
209,b'208'
210,b'191'
211,b'191'
212,
213,b'060'
214,b'195'
215,b'224'
216,b'205'
217,
218,b'304'
219,b'059'
220,
221,
222,b'180'
223,b'195'
224,
225,
226,b'061'
227,
228,b'208'
229,b'069'
230,b'161'
231,
232,
233,b'059'
234,b'304'
235,
236,
237,
238,
239,
240,
241,
242,
243,b'195'
244,b'060'
245,b'070'
246,
247,
248,b'038'
249,
250,
251,b'181'
252,
253,
254,b'061'
255,
256,b'060'
257,
258,
259,
260,
261,
262,b'196'
263,
264,
265,
266,b'195'
267,
268,b'069'
269,
270,
271,
272,
273,b'070'
274,
275,b'195'
276,
277,
278,b'191'
279,
280,b'061'
281,
282,b'224'
283,
284,
285,
286,b'181'
287,
288,
289,b'060'
290,
291,
292,
293,
294,b'061'
295,
296,b'059'
297,b'195'
298,b'191'
299,b'059'
300,
301,b'059'
302,
303,
304,b'061'
305,b'341'
306,b'060'
307,
308,
309,
310,
311,
312,b'341'
313,
314,b'059'
315,
316,b'102'
317,
318,
319,
320,b'341'
321,b'191'
322,
323,
324,b'059'
325,
326,
327,
328,b'214'
329,b'077'
330,
331,
332,
333,b'341'
334,
335,
336,
337,
338,
339,b'060'
340,b'077'
341,b'069'
342,
343,
344,
345,
346,b'191'
347,b'307'
348,
349,b'208'
350,b'341'
351,
352,
353,
354,
355,b'059'
356,b'341'
357,
358,b'292'
359,
360,b'060'
361,
362,
363,b'348'
364,
365,b'302'
366,
367,
368,
369,
370,b'208'
371,b'076'
372,b'262'
373,
374,
375,b'061'
376,
377,
378,
379,b'208'
380,
381,b'077'
382,b'224'
383,
384,b'061'
385,b'061'
386,b'191'
387,
388,
389,b'191'
390,b'432'
391,
392,b'290'
393,
394,b'178'
395,
396,
397,
398,b'191'
399,b'060'
400,b'159'
401,
402,b'195'
403,
404,
405,b'038'
406,b'061'
407,b'059'
408,b'195'
409,
410,b'061'
411,b'061'
412,
413,b'432'
414,
415,b'225'
416,
417,
418,
419,
420,b'059'
421,b'061'
422,b'060'
423,
424,
425,
426,
427,b'059'
428,
429,
430,
431,
432,b'061'
433,
434,b'159'
435,
436,
437,
438,b'089'
439,
440,
441,
442,b'060'
443,b'292'
444,
445,b'181'
446,
447,b'089'
448,
449,b'059'
450,
451,b'059'
